"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C3,C8,C7";"C_0805_2012Metric";3;"10µF";;;
2;"X1";"Adap_UT_P2019";1;"Adap_UT_P2019";;;
3;"J2";"PinHeader_1x03_P1.00mm_Vertical";1;"Control";;;
4;"J1";"PinHeader_1x02_P1.00mm_Vertical";1;"Power";;;
5;"C1,C9,C6,C4";"C_0201_0603Metric";4;"1µF";;;
6;"IC1";"BGA6C40P2X3_79X119X62";1;"TPS61046YFFR";;;
7;"L2";"INDC3225X170N";1;"BRL3225T4R7M";;;
8;"L1";"FDSD0420WH150MP3";1;"FDSD0420-H-100M=P3";;;
9;"IC2";"BGA12C50P3X4_146X196X68";1;"LM48580TL_NOPB";;;
10;"D1";"SODFL1608X70N";1;"NSR0520V2T1G";;;
11;"R4,R3";"R_0603_1608Metric";2;"100k";;;
12;"R2";"R_0603_1608Metric";1;"30k";;;
13;"R1";"R_0603_1608Metric";1;"536k";;;
14;"C5";"C_0603_1608Metric";1;"1µF";;;
15;"C2";"C_0201_0603Metric";1;"2,2µF";;;
